OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Owner_occupied_housing_units,Pct_Owner_Occ_HousUnits,Renter_occupied_housing_units,Pct_Renter_Occ_Units,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,1904,1800,94.5,104,5.5,0,0,1364,71.6,983,51.6,476,25,445,23.4,1199,66.6,601,33.4,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,3679,3506,95.3,173,4.7,3.2,3.9,2954,80.3,1841,50,1186,32.2,652,17.7,2565,73.2,941,26.8,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,1290,1056,81.9,234,18.1,10.5,11.2,571,44.3,182,14.1,271,21,837,64.9,145,13.7,911,86.3,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,1655,1448,87.5,207,12.5,0.2,0,1173,70.9,304,18.4,782,47.3,569,34.4,1105,76.3,343,23.7,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,2528,2240,88.6,288,11.4,6.1,2.4,1916,75.8,992,39.2,533,21.1,1003,39.7,1265,56.5,975,43.5,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,4586,4247,92.6,339,7.4,0.9,0,3561,77.6,1844,40.2,1245,27.1,1497,32.6,3017,71,1230,29,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,1437,1352,94.1,85,5.9,0,9.3,1030,71.7,197,13.7,618,43,622,43.3,1088,80.5,264,19.5,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,2411,2111,87.6,300,12.4,3,12,1906,79.1,506,21,939,38.9,966,40.1,1428,67.6,683,32.4,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,3556,3243,91.2,313,8.8,0.7,2.9,2150,60.5,451,12.7,1200,33.7,1905,53.6,1617,49.9,1626,50.1,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,2678,2306,86.1,372,13.9,3,3.7,1879,70.2,624,23.3,674,25.2,1380,51.5,1330,57.7,976,42.3,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,3335,2982,89.4,353,10.6,3.3,9.5,2420,72.6,1141,34.2,1196,35.9,998,29.9,1708,57.3,1274,42.7,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,3334,2978,89.3,356,10.7,0,3.4,2524,75.7,618,18.5,1729,51.9,987,29.6,1718,57.7,1260,42.3,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,2309,2229,96.5,80,3.5,0,0,1765,76.4,537,23.3,546,23.6,1226,53.1,1481,66.4,748,33.6,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,2789,2383,85.4,406,14.6,6,11.3,1268,45.5,1147,41.1,910,32.6,732,26.2,747,31.3,1636,68.7,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,3219,2609,81.1,610,18.9,8.8,12.9,2864,89,966,30,1751,54.4,502,15.6,2285,87.6,324,12.4,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,2529,2273,89.9,256,10.1,0,5.5,1881,74.4,311,12.3,885,35,1333,52.7,1520,66.9,753,33.1,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,1418,1311,92.5,107,7.5,1.9,3.9,1072,75.6,134,9.4,406,28.6,878,61.9,929,70.9,382,29.1,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,2262,2195,97,67,3,0.8,0,1674,74,354,15.6,1668,73.7,240,10.6,1657,75.5,538,24.5,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,3047,2751,90.3,296,9.7,0.9,19,1951,64,1046,34.3,1546,50.7,455,14.9,1774,64.5,977,35.5,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,1746,1642,94,104,6,0,0,1487,85.2,68,3.9,1036,59.3,642,36.8,1177,71.7,465,28.3,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
21,140304,13113140304,1403.04,ARC 10,2245,2073,92.3,172,7.7,0,9.3,1923,85.7,20,0.9,1649,73.5,576,25.7,1730,83.5,343,16.5,{720591AF-4282-4C53-9629-C8DC1522485A},
22,140307,13113140307,1403.07,ARC 10,1504,1438,95.6,66,4.4,2.7,0,1504,100,328,21.8,1154,76.7,22,1.5,1389,96.6,49,3.4,{C2C14EE5-EE1E-4885-B9FD-D65A3282EEF1},
23,140408,13113140408,1404.08,ARC 10,1190,1106,92.9,84,7.1,0,11.5,1181,99.2,26,2.2,962,80.8,202,17,1014,91.7,92,8.3,{3D05A39A-A2C4-4ABE-B901-516340922EF7},
24,140407,13113140407,1404.07,ARC 10,3201,2968,92.7,233,7.3,2,3.4,2443,76.3,582,18.2,1761,55,858,26.8,2154,72.6,814,27.4,{FB4CB008-AA2A-4DC3-B954-7AAB777FDB3D},
25,140405,13113140405,1404.05,ARC 10,1297,1250,96.4,47,3.6,0,0,1297,100,121,9.3,862,66.5,314,24.2,1120,89.6,130,10.4,{9DB28DA9-A556-4F73-9B18-269778D2A895},
26,140404,13113140404,1404.04,ARC 10,2195,2079,94.7,116,5.3,0,0,1643,74.9,648,29.5,1064,48.5,483,22,1647,79.2,432,20.8,{395C50C2-2D7B-41FE-BAAE-F065FF6A0BC1},
27,140206,13113140206,1402.06,ARC 10,1605,1589,99,16,1,0,5.5,1333,83.1,437,27.2,926,57.7,242,15.1,1315,82.8,274,17.2,{2616EDD5-D182-4739-822F-26C47C77DA0E},
28,140203,13113140203,1402.03,ARC 10,2042,1989,97.4,53,2.6,0,7.2,1959,95.9,832,40.7,839,41.1,371,18.2,1669,83.9,320,16.1,{B5336E0C-C134-4B6B-AA7E-32322D4E9C91},
29,140204,13113140204,1402.04,ARC 10,1892,1780,94.1,112,5.9,4.2,0,1557,82.3,394,20.8,1131,59.8,367,19.4,1501,84.3,279,15.7,{A31B282E-5A37-4A11-85B1-076955AF9E9C},
30,140305,13113140305,1403.05,ARC 10,1588,1568,98.7,20,1.3,0,0,1308,82.4,906,57.1,555,34.9,127,8,1337,85.3,231,14.7,{905F0D8D-A9C9-481B-8FC9-E88DE4D3BA56},
31,140403,13113140403,1404.03,ARC 10,2179,1962,90,217,10,1.9,10.4,2109,96.8,411,18.9,1395,64,373,17.1,1746,89,216,11,{6DEA8A8A-8D61-45F6-B065-EFF01004643E},
32,140406,13113140406,1404.06,ARC 10,1588,1445,91,143,9,0.6,7.9,1248,78.6,236,14.9,793,49.9,559,35.2,1073,74.3,372,25.7,{189820F5-D088-4922-83EE-DF2BF7E75D6C},
33,140306,13113140306,1403.06,ARC 10,3039,2759,90.8,280,9.2,1.7,9,2243,73.8,512,16.8,2376,78.2,151,5,1662,60.2,1097,39.8,{89A3C886-E869-417C-A11E-C10799D03124},
34,140102,13113140102,1401.02,ARC 10,2243,1968,87.7,275,12.3,4.1,0,2199,98,163,7.3,1114,49.7,966,43.1,1746,88.7,222,11.3,{C77A2C16-1CA6-44AC-8558-AD25771D5DF6},
35,140101,13113140101,1401.01,ARC 10,2851,2570,90.1,281,9.9,2.1,0,2548,89.4,385,13.5,1422,49.9,1044,36.6,2370,92.2,200,7.8,{AB948FCE-70DC-4C50-A3E8-5182A973BA73},
